(1, 3, 8, 12, 13)
(2, 7, 8, 13, 16)
(4, 8, 9, 12, 14)
(2, 6, 10, 12, 16)
(5, 7, 9, 10, 13)
(1, 2, 7, 8, 15)
(4, 6, 9, 12, 15)
(1, 3, 9, 11, 16)
(5, 6, 8, 13, 16)
(1, 4, 10, 13, 14)
(3, 4, 10, 13, 15)
(1, 2, 4, 5, 14)
(2, 3, 9, 12, 16)
(1, 6, 9, 12, 15)
(2, 5, 10, 11, 12)
(1, 7, 8, 12, 15)
(2, 6, 9, 13, 16)
(1, 5, 9, 11, 15)
(4, 9, 10, 13, 14)
(2, 7, 8, 15, 16)
(2, 3, 9, 12, 14)
(1, 6, 7, 10, 14)
(2, 5, 10, 11, 15)
(1, 2, 4, 13, 14)
(1, 6, 10, 14, 16)
(2, 6, 9, 12, 16)
(3, 4, 6, 13, 15)
(4, 5, 7, 11, 16)
(5, 9, 10, 11, 15)
(3, 5, 8, 12, 14)
(5, 6, 9, 13, 16)
(5, 6, 9, 13, 15)
(1, 3, 4, 10, 16)
(4, 9, 10, 13, 15)
(2, 4, 6, 9, 13)
(2, 4, 6, 9, 12)
(1, 2, 4, 11, 13)
(7, 9, 10, 13, 14)
(2, 3, 10, 12, 16)
(4, 6, 7, 11, 12)
(3, 4, 6, 11, 13)
(1, 5, 6, 9, 15)
(1, 6, 7, 14, 15)
(2, 3, 7, 14, 15)
(2, 6, 10, 11, 12)
(5, 7, 9, 10, 11)
(3, 5, 10, 13, 15)
(3, 8, 9, 12, 14)
(5, 9, 10, 13, 15)
(2, 6, 8, 13, 16)
(1, 7, 10, 12, 13)
(1, 3, 9, 12, 16)
(1, 6, 10, 12, 16)
(1, 7, 8, 12, 13)
(1, 2, 5, 14, 15)
(2, 6, 8, 10, 11)
(1, 3, 10, 12, 13)
(4, 8, 9, 12, 15)
(1, 3, 8, 9, 11)
(4, 6, 7, 12, 15)
(1, 8, 9, 11, 15)
(4, 5, 8, 14, 16)
(1, 2, 8, 11, 13)
(3, 6, 8, 11, 13)
(6, 8, 10, 14, 16)
(3, 6, 8, 11, 14)
(3, 5, 8, 12, 13)
(3, 7, 9, 11, 14)
(4, 6, 9, 13, 15)
(2, 3, 5, 10, 12)
(4, 7, 8, 15, 16)
(1, 2, 7, 14, 15)
(3, 7, 9, 11, 16)
(3, 6, 7, 14, 15)
(1, 6, 7, 12, 15)
(2, 6, 8, 11, 13)
(4, 8, 9, 10, 14)
(1, 3, 8, 11, 13)
(4, 8, 9, 10, 15)
(2, 7, 9, 13, 16)
(1, 6, 9, 12, 16)
(2, 3, 7, 9, 14)
(4, 8, 10, 15, 16)
(1, 5, 9, 11, 16)
(1, 5, 6, 14, 15)
(5, 7, 9, 11, 16)
(4, 5, 7, 11, 12)
(5, 7, 10, 11, 12)
(2, 3, 10, 15, 16)
(1, 2, 7, 8, 13)
(1, 6, 7, 10, 12)
(1, 3, 10, 12, 16)
(7, 9, 10, 11, 14)
(1, 7, 10, 13, 14)
(1, 2, 4, 5, 11)
(3, 4, 6, 7, 11)
(1, 2, 7, 13, 14)
(1, 3, 4, 10, 13)
(1, 4, 10, 14, 16)
(2, 4, 6, 11, 12)
(5, 6, 8, 14, 16)
(3, 5, 6, 8, 13)
(3, 5, 6, 8, 14)
(1, 2, 8, 11, 15)
(1, 4, 5, 14, 16)
(2, 3, 7, 15, 16)
(8, 9, 10, 11, 14)
(1, 3, 4, 11, 16)
(2, 4, 6, 11, 13)
(8, 9, 10, 11, 15)
(1, 3, 4, 11, 13)
(2, 4, 5, 12, 14)
(2, 4, 9, 13, 14)
(3, 4, 7, 11, 16)
(3, 6, 7, 11, 14)
(3, 8, 9, 11, 14)
(2, 8, 10, 11, 15)
(1, 3, 8, 9, 12)
(4, 5, 7, 8, 16)
(4, 5, 8, 12, 14)
(2, 4, 9, 12, 14)
(6, 8, 10, 11, 14)
(2, 3, 5, 12, 14)
(1, 4, 5, 11, 16)
(3, 5, 6, 14, 15)
(2, 4, 5, 11, 12)
(4, 5, 7, 8, 12)
(1, 8, 9, 12, 15)
(5, 7, 8, 13, 16)
(3, 5, 6, 13, 15)
(3, 5, 10, 12, 13)
(6, 7, 10, 11, 12)
(5, 7, 9, 13, 16)
(6, 7, 10, 11, 14)
(5, 7, 10, 12, 13)
(1, 2, 5, 11, 15)
(1, 5, 6, 9, 16)
(5, 7, 8, 12, 13)
(4, 7, 8, 12, 15)
(2, 3, 5, 10, 15)
(2, 6, 8, 10, 16)
(3, 4, 10, 15, 16)
(1, 5, 6, 14, 16)
(2, 3, 5, 14, 15)
(2, 3, 7, 9, 16)
(2, 7, 9, 13, 14)
(3, 4, 6, 7, 15)
(4, 8, 10, 14, 16)
(3, 4, 7, 15, 16)
(2, 8, 10, 15, 16)
