(23, 30, 31, 32, 41, 62)
(13, 25, 28, 53, 56, 60)
(20, 21, 32, 52, 59, 62)
(0, 5, 20, 23, 29, 30)
(1, 32, 51, 53, 54, 60)
(0, 12, 13, 16, 31, 48)
(0, 1, 10, 11, 48, 55)
(5, 36, 39, 54, 61, 62)
(0, 1, 9, 16, 56, 57)
(4, 32, 33, 34, 35, 62)
(19, 20, 32, 50, 53, 60)
(5, 12, 13, 32, 41, 44)
(5, 20, 27, 30, 61, 62)
(5, 8, 23, 54, 61, 62)
(7, 8, 22, 53, 56, 60)
(8, 39, 40, 47, 56, 62)
(5, 19, 20, 50, 56, 57)
(5, 36, 51, 54, 55, 62)
(15, 29, 30, 48, 49, 60)
(0, 1, 15, 16, 48, 49)
(9, 16, 31, 57, 60, 62)
(2, 17, 48, 56, 57, 58)
(4, 35, 50, 57, 60, 62)
(0, 29, 33, 34, 37, 48)
(8, 9, 24, 55, 56, 62)
(2, 17, 48, 56, 58, 59)
(0, 22, 23, 29, 41, 56)
(28, 31, 32, 38, 45, 62)
(27, 32, 33, 57, 58, 60)
(5, 20, 27, 28, 59, 62)
(0, 32, 34, 35, 36, 41)
(0, 5, 17, 20, 22, 23)
(17, 18, 19, 32, 47, 48)
(1, 2, 3, 32, 60, 61)
(11, 12, 42, 45, 48, 60)
(0, 1, 3, 4, 5, 10)
(0, 1, 2, 7, 8, 56)
(26, 27, 32, 33, 57, 60)
(0, 16, 31, 48, 50, 53)
(29, 32, 34, 37, 41, 60)
(0, 1, 11, 14, 55, 62)
(1, 2, 32, 56, 58, 59)
(6, 9, 16, 47, 60, 62)
(29, 37, 44, 59, 60, 62)
(11, 32, 41, 42, 48, 55)
(0, 5, 12, 25, 27, 28)
(17, 19, 22, 47, 48, 62)
(5, 8, 39, 53, 54, 60)
(5, 6, 21, 28, 59, 62)
(1, 32, 49, 50, 51, 56)
(0, 27, 28, 31, 33, 48)
(5, 19, 20, 26, 29, 60)
(30, 32, 33, 34, 61, 62)
(5, 20, 48, 51, 54, 55)
(18, 32, 46, 47, 49, 56)
(0, 1, 2, 56, 57, 58)
(4, 5, 34, 35, 41, 56)
(0, 35, 36, 38, 48, 53)
(23, 32, 41, 54, 55, 62)
(0, 25, 28, 32, 38, 45)
(5, 20, 26, 27, 56, 57)
(5, 12, 15, 32, 45, 46)
(4, 5, 19, 26, 29, 60)
(12, 15, 16, 32, 47, 48)
(0, 17, 20, 22, 23, 32)
(22, 23, 41, 48, 53, 56)
(1, 5, 8, 14, 15, 32)
(15, 16, 47, 49, 56, 62)
(15, 16, 32, 47, 48, 49)
(5, 19, 20, 48, 50, 53)
(8, 22, 23, 29, 56, 60)
(12, 27, 30, 48, 60, 61)
(5, 8, 15, 46, 47, 62)
(14, 32, 45, 48, 49, 52)
(4, 5, 7, 38, 53, 60)
(5, 36, 43, 45, 46, 60)
(5, 36, 38, 39, 45, 60)
(15, 45, 46, 48, 49, 60)
(0, 7, 8, 17, 22, 56)
(15, 30, 48, 49, 60, 61)
(24, 31, 42, 57, 60, 62)
(0, 29, 37, 41, 44, 56)
(5, 35, 36, 42, 45, 60)
(7, 8, 38, 45, 56, 60)
(5, 12, 32, 41, 43, 44)
(0, 2, 7, 8, 17, 56)
(1, 10, 11, 12, 32, 48)
(0, 3, 4, 10, 25, 62)
(0, 31, 35, 38, 53, 60)
(0, 31, 35, 38, 48, 53)
(11, 12, 26, 48, 56, 57)
(27, 33, 48, 57, 58, 60)
(7, 38, 48, 53, 59, 62)
(0, 29, 32, 33, 34, 37)
(9, 16, 32, 47, 56, 57)
(5, 6, 9, 16, 31, 62)
(0, 29, 30, 33, 34, 48)
(5, 20, 48, 49, 51, 52)
(0, 1, 4, 11, 14, 62)
(8, 23, 30, 56, 61, 62)
(0, 7, 8, 22, 29, 56)
(29, 30, 32, 33, 34, 60)
(5, 8, 15, 16, 47, 62)
(16, 32, 47, 50, 57, 60)
(1, 2, 7, 32, 59, 62)
(0, 7, 17, 22, 59, 62)
(6, 37, 41, 44, 56, 60)
(4, 35, 42, 45, 60, 62)
(17, 32, 43, 44, 47, 48)
(25, 28, 32, 38, 45, 56)
(12, 41, 43, 44, 48, 56)
(5, 8, 39, 45, 46, 60)
(5, 6, 13, 16, 31, 62)
(3, 17, 18, 48, 61, 62)
(25, 39, 45, 46, 56, 60)
(3, 18, 48, 49, 60, 61)
(19, 20, 25, 26, 32, 56)
(21, 24, 31, 45, 60, 62)
(5, 20, 48, 49, 50, 51)
(17, 19, 22, 32, 47, 48)
